Molecule_ChEMBLID;Smiles;Standard_Value
CHEMBL25889;C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1;100.0
CHEMBL11187;Nc1nc(N)c2nc(CCOc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2n1;0.005
CHEMBL303075;COc1cc(Cc2cnc(N)nc2N)cc(CC(C)O)c1O;140.0
CHEMBL215014;Cc1ccc(N2CC(C(=O)Nc3cccc(Cl)c3C)CC2=O)cc1;100000.0
CHEMBL265016;O=C(Nc1ccc(Cl)cc1)C1CC(=O)N(C2CCCCC2)C1;100000.0
CHEMBL2051989;CC[C@H](CC1CNc2nc(N)nc(N)c2N1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1;8e-05
CHEMBL195864;O=[N+]([O-])c1cn(Cc2nc(O)nc(O)c2Cl)cn1;7000.0
CHEMBL476863;Cc1ncc([N+](=O)[O-])n1CCn1cc(COc2ccccc2)nn1;500.0
CHEMBL515496;Cc1ncc([N+](=O)[O-])n1CCn1cc(COc2ccccc2C=O)nn1;500.0
CHEMBL352932;C[C@H](CCC(=O)N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@@]21C;7.5
CHEMBL352101;NC[C@H]1O[C@H](O[C@@H]2C[C@H](CO)NCC[C@H]2N)[C@H](N)[C@@H](O)[C@@H]1O;6400.0
CHEMBL322786;COc1ccc(C2=N[C@@H](C(=O)NO)CO2)cc1;3000.0
CHEMBL33794;C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(Sc3nc4ccc(Cl)cc4s3)[C@H](C)[C@H]12.[Na+];0.9
CHEMBL1626906;C[C@H]1C(c2ccc3c(c2)-c2ccc(C[N+]45CC[N+](Cc6ccccc6)(CC4)CC5)cc2C3=O)=C(C(=O)O)N2C(=O)[C@H]([C@@H](C)O)[C@@H]12.[Cl-].[Cl-];2.2
CHEMBL384978;O=C(Nc1ccc(Cl)cc1)c1c(O)n(-c2cccc(Cl)c2)n(-c2cccc(Cl)c2)c1=O;8600.0
CHEMBL104;Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1;6.0
CHEMBL314412;CC(C)C[C@H](NC(=O)[C@H](Cc1ccc(CC(=O)O)c(O)c1)NC(=O)[C@H](CCC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21)C(N)=O;800000.0
